Designator,Mid X,Mid Y,Rotation,Layer
BT1,131.0,-97.755,180.0,top
D1,162.75,-110.0,90.0,top
J1,131.0,-107.29,0.0,top
J2,131.0,-119.245,0.0,top
J3,143.42,-124.5,90.0,top
Q1,159.0625,-98.75,180.0,top
R1,158.75,-110.08,270.0,top
U2,144.8815,-104.6447,0.0,top
